frame_count,1-h,1-s,1-v,condition,2-h,2-s,2-v,condition,3-h,3-s,3-v,conditon,4-h,4-s,4-v,condition,
0,171,255,255,alive,171,255,255,alive,172,255,255,alive,169,255,255,alive,
1,171,255,255,alive,172,255,255,alive,171,255,255,alive,170,255,255,alive,
2,171,255,255,alive,171,255,255,alive,171,255,255,alive,170,255,255,alive,
3,171,255,255,alive,171,255,255,alive,170,255,255,alive,170,255,255,alive,
4,170,255,255,alive,171,255,255,alive,170,255,255,alive,170,255,255,alive,
5,170,255,255,alive,170,255,255,alive,171,255,255,alive,170,255,255,alive,
6,170,255,255,alive,171,255,255,alive,171,255,255,alive,169,255,255,alive,
7,170,255,255,alive,170,255,255,alive,170,255,255,alive,170,255,255,alive,
8,170,255,255,alive,170,255,255,alive,169,255,255,alive,170,255,255,alive,
9,170,255,255,alive,170,255,255,alive,169,255,255,alive,170,255,255,alive,
10,170,255,255,alive,170,255,255,alive,170,255,255,alive,170,255,255,alive,
11,170,255,255,alive,170,255,255,alive,170,255,255,alive,170,255,255,alive,
12,170,255,255,alive,170,255,255,alive,170,255,255,alive,170,255,255,alive,
13,168,255,255,alive,169,255,255,alive,168,255,255,alive,170,255,255,alive,
14,170,255,255,alive,170,255,255,alive,169,255,255,alive,170,255,255,alive,
15,170,255,255,alive,169,255,255,alive,169,255,255,alive,168,255,255,alive,
16,170,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
17,170,255,255,alive,170,255,255,alive,170,255,255,alive,169,255,255,alive,
18,170,255,255,alive,171,255,255,alive,170,255,255,alive,170,255,255,alive,
19,170,255,255,alive,171,255,255,alive,168,255,255,alive,171,255,255,alive,
20,170,255,255,alive,171,255,255,alive,168,255,255,alive,169,255,255,alive,
21,170,255,255,alive,171,255,255,alive,169,255,255,alive,170,255,255,alive,
22,170,255,255,alive,169,255,255,alive,168,255,255,alive,169,255,255,alive,
23,170,255,255,alive,170,255,255,alive,168,255,255,alive,170,255,255,alive,
24,170,255,255,alive,170,255,255,alive,168,255,255,alive,170,255,255,alive,
25,170,255,255,alive,170,255,255,alive,168,255,255,alive,170,255,255,alive,
