frame_count,1-h,1-s,1-v,2-h,2-s,2-v,3-h,3-s,3-v,4-h,4-s,4-v
0,95,255,255,96,255,255,94,255,255,93,255,255
1,95,255,255,96,255,255,94,255,255,93,255,255
2,96,255,255,92,255,255,94,255,255,94,255,255
3,96,255,255,95,255,255,94,255,255,94,255,255
4,96,255,255,96,255,255,94,255,255,94,255,255
5,96,255,255,94,255,255,94,255,255,93,255,255
6,96,255,255,97,255,255,94,255,255,93,255,255
7,96,255,255,96,255,255,94,255,255,93,255,255
8,96,255,255,96,255,255,94,255,255,93,255,255
9,96,255,255,97,255,255,94,255,255,93,255,255
10,96,255,255,97,255,255,95,255,255,93,255,255
11,96,255,255,97,255,255,95,255,255,94,255,255
12,95,255,255,97,255,255,95,255,255,93,255,255
13,95,255,255,97,255,255,96,255,255,93,255,255
14,95,255,255,96,255,255,95,255,255,94,255,255
15,95,255,255,98,255,255,95,255,255,93,255,255
16,95,255,255,96,255,255,96,255,255,94,255,255
17,95,255,255,96,255,255,95,255,255,93,255,255
18,95,255,255,96,255,255,95,255,255,93,255,255
19,95,255,255,96,255,255,95,255,255,93,255,255
20,95,255,255,95,255,255,95,255,255,94,255,255
21,95,255,255,96,255,255,95,255,255,93,255,255
22,95,255,255,96,255,255,95,255,255,93,255,255
23,96,255,255,96,255,255,95,255,255,93,255,255
24,96,255,255,96,255,255,95,255,255,93,255,255
25,96,255,255,96,255,255,95,255,255,93,255,255
26,96,255,255,96,255,255,95,255,255,94,255,255
27,96,255,255,96,255,255,95,255,255,94,255,255
28,96,255,255,97,255,255,95,255,255,93,255,255
29,96,255,255,96,255,255,95,255,255,94,255,255
30,96,255,255,96,255,255,95,255,255,94,255,255
31,96,255,255,94,255,255,95,255,255,94,255,255
32,96,255,255,94,255,255,95,255,255,94,255,255
33,96,255,255,97,255,255,96,255,255,94,255,255
34,96,255,255,94,255,255,95,255,255,94,255,255
35,96,255,255,96,255,255,95,255,255,93,255,255
36,97,255,255,95,255,255,95,255,255,94,255,255
37,97,255,255,97,255,255,95,255,255,94,255,255
38,97,255,255,97,255,255,95,255,255,94,255,255
39,97,255,255,96,255,255,95,255,255,93,255,255
40,96,255,255,96,255,255,96,255,255,93,255,255
41,97,255,255,95,255,255,95,255,255,93,255,255
42,96,255,255,95,255,255,96,255,255,93,255,255
43,96,255,255,95,255,255,95,255,255,94,255,255
44,97,255,255,96,255,255,95,255,255,93,255,255
45,97,255,255,96,255,255,95,255,255,94,255,255
46,97,255,255,96,255,255,95,255,255,95,255,255
47,97,255,255,96,255,255,96,255,255,94,255,255
48,97,255,255,96,255,255,96,255,255,94,255,255
49,95,255,255,96,255,255,95,255,255,94,255,255
50,97,255,255,96,255,255,95,255,255,94,255,255
51,96,255,255,96,255,255,96,255,255,94,255,255
52,96,255,255,96,255,255,95,255,255,94,255,255
53,96,255,255,96,255,255,96,255,255,94,255,255
54,96,255,255,96,255,255,95,255,255,94,255,255
55,96,255,255,95,255,255,95,255,255,93,255,255
56,96,255,255,97,255,255,95,255,255,93,255,255
57,96,255,255,96,255,255,95,255,255,94,255,255
58,97,255,255,94,255,255,94,255,255,94,255,255
59,96,255,255,94,255,255,95,255,255,94,255,255
60,97,255,255,92,255,255,95,255,255,94,255,255
61,97,255,255,96,255,255,96,255,255,94,255,255
62,97,255,255,94,255,255,96,255,255,94,255,255
63,97,255,255,96,255,255,95,255,255,94,255,255
64,97,255,255,96,255,255,95,255,255,94,255,255
65,97,255,255,96,255,255,96,255,255,94,255,255
66,95,255,255,97,255,255,96,255,255,94,255,255
67,97,255,255,96,255,255,96,255,255,94,255,255
68,95,255,255,96,255,255,96,255,255,94,255,255
69,97,255,255,95,255,255,95,255,255,94,255,255
70,97,255,255,95,255,255,96,255,255,94,255,255
71,97,255,255,96,255,255,96,255,255,94,255,255
72,95,255,255,95,255,255,95,255,255,94,255,255
73,97,255,255,95,255,255,95,255,255,94,255,255
74,95,255,255,96,255,255,96,255,255,94,255,255
75,96,255,255,96,255,255,96,255,255,95,255,255
76,96,255,255,96,255,255,95,255,255,94,255,255
77,96,255,255,96,255,255,95,255,255,95,255,255
78,96,255,255,95,255,255,96,255,255,95,255,255
79,96,255,255,97,255,255,95,255,255,95,255,255
80,96,255,255,95,255,255,96,255,255,94,255,255
81,96,255,255,96,255,255,96,255,255,95,255,255
82,96,255,255,95,255,255,95,255,255,95,255,255
83,96,255,255,95,255,255,96,255,255,94,255,255
84,95,255,255,95,255,255,97,255,255,93,255,255
85,94,255,255,97,255,255,96,255,255,94,255,255
86,96,255,255,95,255,255,97,255,255,95,255,255
87,95,255,255,95,255,255,96,255,255,94,255,255
88,95,255,255,95,255,255,95,255,255,95,255,255
89,96,255,255,96,255,255,95,255,255,95,255,255
90,96,255,255,94,255,255,95,255,255,94,255,255
91,96,255,255,96,255,255,95,255,255,94,255,255
92,94,255,255,96,255,255,95,255,255,94,255,255
93,96,255,255,96,255,255,95,255,255,94,255,255
94,96,255,255,94,255,255,95,255,255,94,255,255
95,96,255,255,96,255,255,95,255,255,93,255,255
96,94,255,255,94,255,255,95,255,255,94,255,255
97,96,255,255,94,255,255,95,255,255,94,255,255
98,96,255,255,94,255,255,95,255,255,94,255,255
99,95,255,255,94,255,255,95,255,255,94,255,255
100,95,255,255,95,255,255,95,255,255,94,255,255
101,95,255,255,95,255,255,95,255,255,94,255,255
102,96,255,255,95,255,255,95,255,255,94,255,255
103,96,255,255,95,255,255,95,255,255,94,255,255
104,95,255,255,95,255,255,95,255,255,94,255,255
105,95,255,255,94,255,255,95,255,255,94,255,255
106,96,255,255,94,255,255,95,255,255,94,255,255
107,96,255,255,95,255,255,95,255,255,93,255,255
108,95,255,255,94,255,255,95,255,255,94,255,255
109,95,255,255,94,255,255,95,255,255,93,255,255
110,95,255,255,93,255,255,95,255,255,93,255,255
111,95,255,255,97,255,255,95,255,255,93,255,255
112,95,255,255,93,255,255,95,255,255,94,255,255
113,95,255,255,93,255,255,95,255,255,94,255,255
114,95,255,255,95,255,255,95,255,255,94,255,255
115,95,255,255,95,255,255,95,255,255,94,255,255
116,95,255,255,97,255,255,95,255,255,94,255,255
117,95,255,255,94,255,255,95,255,255,94,255,255
118,95,255,255,94,255,255,95,255,255,94,255,255
119,95,255,255,95,255,255,95,255,255,94,255,255
120,95,255,255,96,255,255,95,255,255,94,255,255
121,95,255,255,95,255,255,95,255,255,94,255,255
122,95,255,255,95,255,255,95,255,255,94,255,255
123,95,255,255,95,255,255,95,255,255,94,255,255
124,95,255,255,95,255,255,95,255,255,94,255,255
125,95,255,255,95,255,255,95,255,255,94,255,255
126,95,255,255,95,255,255,95,255,255,94,255,255
127,95,255,255,95,255,255,95,255,255,95,255,255
128,95,255,255,96,255,255,95,255,255,95,255,255
129,95,255,255,95,255,255,95,255,255,95,255,255
130,96,255,255,96,255,255,95,255,255,94,255,255
131,96,255,255,96,255,255,95,255,255,95,255,255
132,96,255,255,95,255,255,95,255,255,95,255,255
133,96,255,255,96,255,255,95,255,255,94,255,255
134,95,255,255,96,255,255,95,255,255,95,255,255
135,96,255,255,96,255,255,95,255,255,95,255,255
136,96,255,255,96,255,255,95,255,255,94,255,255
137,96,255,255,96,255,255,95,255,255,94,255,255
138,96,255,255,96,255,255,95,255,255,93,255,255
139,95,255,255,96,255,255,95,255,255,95,255,255
140,96,255,255,96,255,255,95,255,255,95,255,255
141,96,255,255,95,255,255,95,255,255,95,255,255
142,96,255,255,96,255,255,95,255,255,95,255,255
143,96,255,255,94,255,255,96,255,255,94,255,255
144,96,255,255,94,255,255,95,255,255,95,255,255
145,96,255,255,94,255,255,95,255,255,95,255,255
146,96,255,255,94,255,255,96,255,255,95,255,255
147,96,255,255,94,255,255,95,255,255,93,255,255
148,96,255,255,95,255,255,95,255,255,94,255,255
149,96,255,255,94,255,255,95,255,255,94,255,255
150,96,255,255,94,255,255,95,255,255,94,255,255
151,96,255,255,94,255,255,95,255,255,94,255,255
152,96,255,255,94,255,255,95,255,255,95,255,255
153,95,255,255,96,255,255,95,255,255,95,255,255
154,95,255,255,96,255,255,95,255,255,95,255,255
155,95,255,255,96,255,255,95,255,255,95,255,255
156,96,255,255,93,255,255,96,255,255,95,255,255
157,96,255,255,96,255,255,95,255,255,95,255,255
158,96,255,255,94,255,255,95,255,255,95,255,255
159,96,255,255,94,255,255,95,255,255,95,255,255
160,96,255,255,95,255,255,95,255,255,95,255,255
161,96,255,255,95,255,255,95,255,255,94,255,255
162,97,255,255,95,255,255,95,255,255,94,255,255
163,97,255,255,94,255,255,95,255,255,94,255,255
164,97,255,255,95,255,255,95,255,255,94,255,255
165,97,255,255,96,255,255,95,255,255,94,255,255
166,97,255,255,95,255,255,95,255,255,95,255,255
167,96,255,255,95,255,255,95,255,255,95,255,255
168,96,255,255,95,255,255,95,255,255,95,255,255
169,96,255,255,95,255,255,95,255,255,95,255,255
170,96,255,255,96,255,255,95,255,255,95,255,255
171,96,255,255,96,255,255,95,255,255,94,255,255
172,96,255,255,96,255,255,95,255,255,94,255,255
